Kommentar: Sen: 
Zeit: 01.11.2024	17:34
Startenergie: 1250
Endenergie: 1450
Energieschritt: 0
Sensitivity: 100 uV
TC: 300 ms
Phase: Phase: 156
1250	5312.8
1250.5	5256.2
1251	5257.2
1251.5	5250.8
1252	5332.8
1252.5	5368
1253	5397.4
1253.5	5415.2
1254	5426
1254.5	5495.6
1255	5486
1255.5	5460.8
1256	5478
1256.5	5559.4
1257	5600
1257.5	5620.6
1258	5678
1258.5	5750.4
1259	5854
1259.5	5845.8
1260	5855.6
1260.5	5819.8
1261	5831.2
1261.5	5828.4
1262	5796.6
1262.5	5727
1263	5592.2
1263.5	5586.8
1264	5613.6
1264.5	5614.6
1265	5600.2
1265.5	5607.6
1266	5614.6
1266.5	5670.8
1267	5738
1267.5	5813.8
1268	5777
1268.5	5788
1269	5782.6
1269.5	5799.8
1270	5803.4
1270.5	5833.2
1271	5902
1271.5	5956.4
1272	6035.6
1272.5	6003.6
1273	5963
1273.5	5961.4
1274	5863.8
1274.5	5767.8
1275	5742
1275.5	5720.6
1276	5699.2
1276.5	5659.6
1277	5687.4
1277.5	5709.6
1278	5784.2
1278.5	5812.8
1279	5858.2
1279.5	5799
1280	5774
1280.5	5761.4
1281	5733.2
1281.5	5716.6
1282	5822.2
1282.5	5843.4
1283	5916.6
1283.5	5961.2
1284	5957.8
1284.5	5969.2
1285	5980.4
1285.5	5967.4
1286	5857.4
1286.5	5831.4
1287	5848.6
1287.5	5823.4
1288	5715.8
1288.5	5605.8
1289	5512.4
1289.5	5479.6
1290	5566
1290.5	5662.2
1291	5750.4
1291.5	5744
1292	5673.2
1292.5	5658
1293	5618.6
1293.5	5526.6
1294	5470.4
1294.5	5464.2
1295	5422
1295.5	5426.4
1296	5460.4
1296.5	5497
1297	5424.8
1297.5	5457.4
1298	5499
1298.5	5495.4
1299	5558.6
1299.5	5594.8
1300	5652.6
1300.5	5787.8
1301	5862.8
1301.5	5966.8
1302	6195.6
1302.5	6334.2
1303	6431.6
1303.5	6537.4
1304	6519
1304.5	6438.6
1305	6463
1305.5	6521.2
1306	6613.8
1306.5	6672.6
1307	6711
1307.5	6693.6
1308	6591.6
1308.5	6555.8
1309	6479.6
1309.5	6325.6
1310	6155.4
1310.5	6061.8
1311	5920.2
1311.5	5708.4
1312	5547
1312.5	5458
1313	5409.6
1313.5	5450.2
1314	5478.2
1314.5	5450.6
1315	5389
1315.5	5444.2
1316	5488.4
1316.5	5506.2
1317	5562
1317.5	5706.6
1318	5900.8
1318.5	6050.4
1319	6276.2
1319.5	6445.4
1320	6707
1320.5	7076.2
1321	7345.6
1321.5	7551.4
1322	7736.2
1322.5	7908.2
1323	7949.2
1323.5	7809.8
1324	7534
1324.5	7112.2
1325	6650.2
1325.5	6219.8
1326	5713
1326.5	5129.4
1327	4526.2
1327.5	3898
1328	3345.4
1328.5	2933.4
1329	2652.8
1329.5	2536.6
1330	2484.8
1330.5	2554
1331	2655.2
1331.5	2766.8
1332	2796.2
1332.5	2879.2
1333	2961
1333.5	3066.8
1334	3181.8
1334.5	3310.6
1335	3425.4
1335.5	3593
1336	3797.4
1336.5	4009
1337	4224.4
1337.5	4407.2
1338	4497.4
1338.5	4627
1339	4792
1339.5	4927.2
1340	5139.6
1340.5	5299.4
1341	5489.8
1341.5	5590.6
1342	5658.2
1342.5	5616.8
1343	5498.4
1343.5	5247.8
1344	4917.2
1344.5	4660.4
1345	4324.6
1345.5	3967
1346	3603
1346.5	3223.8
1347	2941.4
1347.5	2770.8
1348	2709.6
1348.5	2676.8
1349	2753.6
1349.5	2931.4
1350	3304.6
1350.5	3608.6
1351	3897.8
1351.5	4182
1352	4358
1352.5	4528.8
1353	4673.2
1353.5	4914.2
1354	5227.2
1354.5	5478.2
1355	5839.4
1355.5	6184.2
1356	6462
1356.5	6676
1357	6925.2
1357.5	7152.2
1358	7202.8
1358.5	7128.8
1359	7086
1359.5	6948.2
1360	6639.2
1360.5	6124.2
1361	5545.2
1361.5	4808.2
1362	4199.8
1362.5	3568.4
1363	2900.8
1363.5	2380.4
1364	1887.6
1364.5	1575.8
1365	1469
1365.5	1486
1366	1601.4
1366.5	1714
1367	1957.2
1367.5	2390.4
1368	2663
1368.5	2990.6
1369	3314.4
1369.5	3659.8
1370	3842.6
1370.5	4046
1371	4335.6
1371.5	4778.4
