Kommentar: Sen: 
Zeit: 01.11.2024	17:15
Startenergie: 10
Endenergie: 1500
Energieschritt: 2
Sensitivity: 300 uV
TC: 300 ms
Phase: Phase: 156
10	1008
12	884
14	1364
16	2330
18	2544
20	2342
22	1925
24	1883
26	3504
28	5120
30	6207
32	6894
34	7045
36	6953
38	6680
40	6364
42	6034
44	5746
46	5410
48	5155
50	4886
52	4635
54	4668
56	4926
58	5406
60	5979
62	7291
64	8572
66	9386
68	6656
70	980
72	-3947
74	-7636
76	-8985
78	-8608
80	-7406
82	-6223
84	-5076
86	-4080
88	-3200
90	-2541
92	-1865
94	-1310
96	-954
98	-588
100	-312
102	-128
104	13
106	170
108	273
110	347
112	381
114	414
116	424
118	414
120	416
122	420
124	402
126	371
128	347
130	342
132	331
134	339
136	356
138	349
140	338
142	336
144	341
146	357
148	367
150	376
152	369
154	368
156	383
158	393
160	387
162	372
164	366
166	358
168	354
170	366
172	360
174	355
176	334
178	328
180	305
182	283
184	279
186	267
188	260
190	265
192	289
194	291
196	271
198	263
200	260
202	269
204	274
206	290
208	297
210	298
212	308
214	318
216	314
218	308
220	304
222	306
224	304
226	308
228	327
230	341
232	334
234	328
236	331
238	333
240	359
242	356
244	362
246	355
248	350
250	351
252	357
254	341
256	325
258	307
260	276
262	269
264	273
266	269
268	252
270	183
272	100
274	-23
276	-106
278	-159
280	-177
282	-162
284	-110
286	-101
288	-92
290	-57
292	-24
294	22
296	72
298	92
300	119
302	179
304	213
306	221
308	225
310	224
312	246
314	265
316	266
318	240
320	194
322	169
324	184
326	212
328	223
330	251
332	275
334	267
336	264
338	252
340	255
342	255
344	225
346	205
348	203
350	196
352	178
354	165
356	169
358	193
360	179
362	151
364	141
366	141
368	134
370	138
372	144
374	177
376	199
378	222
380	243
382	245
384	222
386	207
388	195
390	168
392	131
394	97
396	120
398	156
400	171
402	163
404	151
406	145
408	158
410	187
412	221
414	257
416	313
418	286
420	258
422	248
424	230
426	221
428	230
430	241
432	252
434	266
436	273
438	282
440	274
442	249
444	224
446	209
448	207
450	183
452	185
454	210
456	251
458	241
460	256
462	263
464	277
466	296
468	304
470	320
472	343
474	337
476	362
478	350
480	320
482	332
484	347
486	335
488	322
490	333
492	322
494	308
496	283
498	280
500	310
502	337
504	342
506	344
508	346
510	370
512	347
514	301
516	281
518	276
520	308
522	333
524	335
526	352
528	344
530	344
532	319
534	288
536	298
538	320
540	335
542	322
544	299
546	290
548	301
550	291
552	314
554	352
556	350
558	360
560	353
562	348
564	338
566	361
568	363
570	353
572	313
574	299
