Kommentar: 
Zeit: 05.11.2024	09:47
Startenergie: 10
Endenergie: 1600
Energieschritt: 2
Sensitivity: 100 mV
TC: 3 ms
Phase: Phase: 156
10	3
12	-2
14	53
16	1
18	0
20	0
22	0
24	164
26	105
28	18
30	11
32	0
34	2
36	-2
38	0
40	5
42	-2
44	6
46	2
48	7
50	7
52	11
54	5
56	8
58	0
60	-3
62	-7
64	-22
66	-47
68	-78
70	-69
72	-29
74	1
76	2
78	2
80	0
82	0
84	2
86	0
88	2
90	2
92	1
94	3
96	2
98	5
100	5
102	2
104	1
106	1
108	2
110	0
112	2
114	4
116	1
118	2
120	2
122	3
124	2
126	2
128	4
130	4
132	3
134	2
136	4
138	3
140	5
142	3
144	3
146	2
148	5
150	2
152	-1
154	3
156	2
158	4
160	3
162	1
164	3
166	3
168	4
170	6
172	3
174	6
176	3
178	3
180	5
182	2
184	5
186	3
188	4
190	2
192	3
194	2
196	6
198	4
200	2
202	2
204	3
206	2
208	5
210	1
212	0
214	4
216	4
218	7
220	6
222	4
224	4
226	4
228	3
230	4
232	3
234	5
236	4
238	6
240	3
242	7
244	8
246	7
248	7
250	4
252	7
254	4
256	4
258	8
260	4
262	7
264	3
266	0
268	-7
270	-11
272	-8
274	-9
276	-2
278	1
280	0
282	3
284	2
286	6
288	0
290	4
292	0
294	1
296	1
298	0
300	3
302	2
304	0
306	2
308	1
310	1
312	7
314	2
316	3
318	0
320	0
322	3
324	6
326	4
328	1
330	0
332	2
334	1
336	1
338	4
340	4
342	2
344	2
346	4
348	4
350	2
352	6
354	2
356	3
358	6
360	5
362	8
364	6
366	3
368	0
370	7
372	4
374	4
376	2
378	2
380	0
382	0
384	1
386	2
388	2
390	1
392	1
394	6
396	4
398	0
400	4
402	1
404	0
406	3
408	3
410	1
412	6
414	3
416	1
418	1
420	2
422	2
424	5
426	2
428	0
430	0
432	0
434	5
436	4
438	3
440	6
442	4
444	5
446	6
448	9
450	5
452	4
454	5
456	5
458	4
460	2
462	3
464	5
466	2
468	4
470	7
472	7
474	7
476	8
478	7
480	4
482	4
484	2
486	3
488	4
490	3
492	8
494	8
496	16
498	18
500	8
502	-2
504	-5
506	-8
508	-12
510	-8
512	-1
514	-3
516	0
518	-3
520	3
522	4
524	7
526	6
528	6
530	4
532	4
534	6
536	4
538	0
540	4
542	3
544	3
546	7
548	4
550	2
552	2
554	8
556	5
558	5
560	5
562	4
564	5
566	7
568	3
570	6
572	6
574	8
576	5
578	7
580	7
582	6
584	6
586	5
588	9
590	6
592	9
594	4
596	4
598	7
600	7
602	5
604	2
606	7
608	6
610	5
612	7
614	3
616	3
618	8
620	3
622	6
624	10
626	1
628	2
630	2
632	7
634	3
636	8
638	7
640	9
642	4
644	4
646	4
648	6
650	7
652	6
654	5
656	1
658	6
660	10
662	2
664	5
666	3
668	2
670	5
672	10
674	7
676	7
678	6
680	10
682	2
684	3
686	5
688	4
690	2
692	4
694	4
696	11
698	4
700	7
702	8
704	5
706	9
708	8
710	2
712	10
714	3
716	4
718	11
720	1
722	6
724	3
726	5
728	6
730	6
732	12
734	5
736	6
738	0
740	3
742	10
744	4
746	4
748	7
750	9
752	1
754	2
756	0
758	6
760	11
762	5
764	6
766	7
768	5
770	4
772	2
774	8
776	4
778	8
780	8
782	6
784	7
786	9
788	7
790	5
792	6
794	6
796	5
798	8
800	8
802	8
804	5
806	11
808	5
810	6
812	8
814	7
816	14
818	3
820	7
822	10
824	14
826	2
828	5
830	3
832	4
834	7
836	9
838	10
840	9
842	4
844	8
846	11
848	5
850	5
852	5
854	7
856	7
858	12
860	4
862	10
864	3
866	7
868	3
870	12
872	13
874	5
876	4
878	9
880	13
882	9
884	5
886	12
888	4
890	11
892	10
894	7
896	14
898	8
900	4
902	5
904	6
906	7
908	5
910	4
912	2
914	9
916	7
918	3
920	13
922	11
924	6
926	7
928	8
930	9
932	5
934	7
936	6
938	3
940	10
942	11
944	6
946	9
948	5
950	4
952	11
954	11
956	9
958	14
960	5
962	9
964	11
966	8
968	8
970	16
972	14
974	9
976	13
978	2
980	3
982	9
984	8
986	11
988	8
990	9
992	12
994	4
996	7
998	7
1000	7
1002	8
1004	7
1006	9
1008	4
1010	5
1012	5
1014	11
1016	10
1018	8
1020	14
1022	11
1024	4
1026	7
1028	3
1030	7
1032	9
1034	11
1036	8
1038	5
1040	4
1042	3
1044	6
1046	5
1048	12
1050	6
1052	10
1054	10
1056	9
1058	6
