Kommentar: 
Zeit: 05.11.2024	09:50
Startenergie: 10
Endenergie: 1600
Energieschritt: 2
Sensitivity: 100 mV
TC: 3 ms
Phase: Phase: 156
10	4
12	-161
14	308
16	92
18	0
20	-1
22	0
24	503
26	478
28	23
30	26
32	31
34	-12
36	0
38	-6
40	-8
42	12
44	-1
46	8
48	21
50	10
52	26
54	3
56	19
58	1
60	-35
62	-91
64	-90
66	-165
68	-278
70	-251
72	-118
74	-7
76	-9
78	4
80	-5
82	-1
84	-6
86	-8
88	9
90	4
92	4
94	4
96	2
98	11
100	2
102	11
104	6
106	-4
108	9
110	3
112	6
114	10
116	-2
118	4
120	0
122	7
124	0
126	0
128	10
130	9
132	7
134	15
136	5
138	8
140	13
142	3
144	-2
146	9
148	-4
150	6
152	6
154	17
156	16
158	4
160	4
162	4
164	3
166	16
168	10
170	15
172	-1
174	-4
176	7
178	-2
180	10
182	0
184	1
186	8
188	6
190	-2
192	8
194	3
196	12
198	1
200	1
202	7
204	14
206	6
208	-2
210	9
212	-1
214	10
216	12
218	5
220	9
222	1
224	11
226	18
228	13
230	6
232	5
234	13
236	15
238	15
240	7
242	26
244	16
246	14
248	18
250	9
252	5
254	11
256	10
258	12
260	19
262	33
264	21
266	-19
268	-42
270	-59
272	-60
274	-51
276	-33
278	-3
280	3
282	7
284	9
286	8
288	0
290	3
292	-6
294	-2
296	-2
298	8
300	2
302	5
304	6
306	2
308	2
310	5
312	7
314	3
316	13
318	-6
320	7
322	20
324	5
326	13
328	10
330	1
332	12
334	0
336	-2
338	15
340	1
342	-4
344	9
346	9
348	-3
350	5
352	5
354	0
356	10
358	9
360	19
362	2
364	8
366	10
368	0
370	13
372	0
374	4
376	0
378	2
380	-7
382	-3
384	6
386	9
388	0
390	6
392	0
394	7
396	17
398	15
400	4
402	0
404	12
406	8
408	14
410	12
412	6
414	8
416	6
418	8
420	15
422	7
424	9
426	9
428	2
430	3
432	1
434	13
436	14
438	-5
440	17
442	19
444	-3
446	-1
448	16
450	11
452	-6
454	16
456	13
458	15
460	12
462	16
464	11
466	20
468	15
470	6
472	12
474	17
476	25
478	18
480	16
482	5
484	8
486	-2
488	-8
490	12
492	17
494	50
496	39
498	58
500	-9
502	-6
504	-33
506	-32
508	-50
510	-31
512	-17
514	-4
516	3
518	4
520	15
522	7
524	-1
526	19
528	3
530	0
532	18
534	1
536	14
538	-2
540	2
542	1
544	7
546	6
548	12
550	13
552	12
554	2
556	9
558	28
560	6
562	9
564	8
566	17
568	24
570	19
572	16
574	20
576	16
578	4
580	14
582	25
584	12
586	10
588	-6
590	10
592	9
594	-8
596	7
598	6
600	-1
602	9
604	14
606	21
608	15
610	15
612	36
614	20
616	21
618	17
620	3
622	26
624	5
626	10
628	14
630	3
632	35
634	6
636	19
638	23
640	14
642	17
644	26
646	12
648	7
650	35
652	25
654	10
656	7
658	3
660	23
662	30
664	8
666	7
668	10
670	12
672	9
674	12
676	9
678	17
680	14
682	35
684	18
686	14
688	21
690	35
692	10
694	20
696	15
698	10
700	8
702	8
704	15
706	16
708	20
710	20
712	10
714	0
716	10
718	17
720	13
722	4
724	17
726	1
728	21
730	3
732	2
734	27
736	17
738	22
740	22
742	9
744	20
746	5
748	21
750	11
752	20
754	-2
756	8
758	2
760	15
762	2
764	25
766	5
768	23
770	18
772	11
774	18
776	18
778	2
780	11
782	9
784	16
786	11
788	7
790	24
792	15
794	25
796	5
798	21
800	22
802	15
804	12
806	7
808	13
810	14
812	32
814	34
816	17
818	8
820	25
822	16
824	5
826	28
828	11
830	11
832	10
834	24
836	10
838	-6
840	20
842	11
844	15
846	19
848	33
850	37
852	26
854	19
856	5
858	25
860	20
862	12
864	20
866	21
868	22
870	21
872	34
874	35
876	27
878	29
880	17
882	29
884	32
886	14
888	45
890	36
892	34
894	10
896	31
898	27
900	13
902	21
904	9
906	28
908	44
910	30
912	27
914	7
916	23
918	16
920	17
922	5
924	14
926	10
928	22
930	21
932	15
934	30
936	24
938	20
940	30
942	20
944	26
946	26
948	27
950	55
952	11
954	34
956	40
958	31
960	4
962	37
964	25
966	16
968	18
970	53
972	26
974	21
976	24
978	13
980	15
982	33
984	7
986	9
988	5
990	20
992	17
994	42
996	23
998	30
1000	27
1002	15
1004	3
1006	23
1008	10
1010	32
1012	15
1014	8
1016	36
1018	46
1020	27
1022	32
1024	17
1026	32
1028	40
1030	11
1032	35
1034	35
1036	26
1038	23
1040	28
