Kommentar: 
Zeit: 05.11.2024	09:56
Startenergie: 10
Endenergie: 1600
Energieschritt: 2
Sensitivity: 1 mV
TC: 3 ms
Phase: Phase: 156
10	150
12	109
14	161
16	974
18	1303
20	1275
22	1108
24	981
26	1681
28	2807
30	3219
32	3163
34	2880
36	2433
38	1943
40	1463
42	1094
44	786
46	555
48	426
50	357
52	351
54	374
56	394
58	374
60	265
62	37
64	-294
66	-790
68	-1593
70	-2750
72	-3564
74	-3895
76	-3609
78	-3116
80	-2533
82	-2004
84	-1596
86	-1269
88	-980
90	-739
92	-547
94	-410
96	-275
98	-193
100	-109
102	-49
104	-1
106	40
108	72
110	91
112	110
114	124
116	144
118	165
120	177
122	176
124	175
126	169
128	163
130	152
132	143
134	142
136	147
138	146
140	146
142	144
144	148
146	149
148	141
150	124
152	103
154	84
156	76
158	74
160	74
162	70
164	65
166	64
168	65
170	70
172	74
174	78
176	93
178	110
180	116
182	112
184	107
186	109
188	112
190	117
192	127
194	144
196	149
198	149
200	146
202	146
204	155
206	157
208	158
210	163
212	175
214	187
216	188
218	188
220	186
222	183
224	181
226	190
228	204
230	218
232	224
234	231
236	246
238	260
240	276
242	299
244	327
246	371
248	415
250	440
252	449
254	439
256	418
258	394
260	378
262	388
264	409
266	396
268	274
270	24
272	-298
274	-607
276	-852
278	-930
280	-900
282	-796
284	-672
286	-531
288	-405
290	-296
292	-224
294	-151
296	-100
298	-56
300	-20
302	-1
304	10
306	23
308	32
310	45
312	54
314	61
316	64
318	71
320	77
322	82
324	92
326	96
328	94
330	86
332	75
334	58
336	52
338	68
340	83
342	90
344	103
346	109
348	112
350	113
352	106
354	104
356	111
358	121
360	124
362	125
364	115
366	104
368	108
370	129
372	168
374	195
376	213
378	204
380	149
382	89
384	47
386	9
388	-10
390	-11
392	10
394	37
396	70
398	90
400	98
402	106
404	126
406	136
408	143
410	157
412	162
414	160
416	165
418	172
420	171
422	173
424	163
426	151
428	148
430	149
432	151
434	156
436	168
438	175
440	182
442	192
444	200
446	216
448	214
450	216
452	227
454	236
456	255
458	259
460	257
462	268
464	292
466	301
468	313
470	311
472	291
474	283
476	308
478	356
480	406
482	438
484	436
486	378
488	306
490	245
492	204
494	247
496	352
498	571
500	726
502	693
504	480
506	172
508	-144
510	-432
512	-644
514	-705
516	-658
518	-537
520	-427
522	-319
524	-215
526	-117
528	-33
530	42
532	98
534	124
536	151
538	170
540	180
542	205
544	221
546	226
548	225
550	215
552	221
554	215
556	209
558	215
560	235
562	248
564	246
566	242
568	238
570	221
572	231
574	243
576	240
578	237
580	248
582	267
584	270
586	257
588	250
590	242
592	236
594	246
596	248
598	248
600	248
602	269
604	293
606	300
608	300
610	296
612	303
614	318
616	322
618	309
620	302
622	302
624	304
626	304
628	297
630	306
632	323
634	341
636	344
638	343
640	332
642	320
644	313
646	305
648	292
650	291
652	295
654	288
656	284
658	286
660	294
662	318
664	337
666	345
668	347
670	350
672	363
674	355
676	331
678	339
680	341
682	345
684	346
686	345
688	342
690	344
692	363
694	388
696	403
698	399
700	387
702	399
704	399
706	394
708	389
710	382
712	371
714	373
716	367
718	370
720	390
722	384
724	380
726	387
728	378
730	362
732	365
734	374
736	392
738	430
740	433
742	415
744	398
746	402
748	422
750	426
752	416
754	418
756	400
758	388
760	400
762	406
764	402
766	397
768	398
770	395
772	416
774	420
776	433
778	439
780	443
782	457
784	453
786	440
788	446
790	456
792	485
794	509
796	529
798	518
800	505
802	482
804	471
806	492
808	508
810	506
812	488
814	458
816	448
818	449
820	461
822	460
824	462
826	464
828	461
830	467
832	487
834	499
836	507
838	485
840	464
842	441
844	420
846	420
848	433
850	450
852	449
854	447
856	452
858	464
860	474
862	489
864	499
866	497
868	507
870	520
872	497
874	490
876	478
878	487
880	484
882	488
884	494
886	520
888	531
890	538
892	521
894	515
896	511
898	517
900	520
902	509
904	504
906	502
908	504
910	491
912	478
914	470
916	460
918	463
920	464
922	471
924	481
926	495
928	501
930	514
932	511
934	530
936	536
938	532
940	526
942	522
944	530
946	539
948	542
950	555
952	579
954	582
956	587
958	584
960	581
962	596
964	600
966	588
968	578
970	573
972	579
974	577
976	587
978	590
980	574
982	551
984	543
986	531
988	546
990	556
992	560
994	565
996	584
998	585
1000	580
1002	566
1004	570
1006	577
1008	610
1010	628
1012	635
1014	622
1016	610
1018	607
1020	622
1022	635
1024	648
1026	649
1028	640
1030	650
1032	655
1034	674
1036	686
1038	689
