Kommentar: 
Zeit: 05.11.2024	10:39
Startenergie: 1300
Endenergie: 1450
Energieschritt: 2
Sensitivity: 100 uV
TC: 300 ms
Phase: Phase: 156
1300	1958.8
1302	1963.8
1304	1985.2
1306	1985.2
1308	2003
1310	2054
1312	2207.2
1314	2378.4
1316	2422.8
1318	2362
1320	2246.8
1322	2064.8
1324	1887.8
1326	1774
1328	1736.8
1330	1725.6
1332	1740.2
1334	1817.8
1336	1905.4
1338	1918
1340	1871.4
1342	1787.6
1344	1733.2
1346	1842.8
1348	1970.2
1350	2108.6
1352	2135.2
1354	2097.6
1356	1990
1358	1821.4
1360	1757
1362	1804.8
1364	1932
1366	2050.6
1368	2091
1370	1843.2
1372	1284.4
1374	607.4
1376	125.8
1378	-63
1380	-166.8
1382	-282.6
1384	-405.6
1386	-420.2
1388	-304.4
1390	-64.2
1392	143
1394	230.2
1396	230.6
1398	350.8
1400	615.8
1402	962
1404	1272
1406	1462.6
1408	1612.4
1410	1750
1412	1842.8
1414	1921
1416	1964.2
1418	1992.4
1420	2043.6
1422	2115.6
1424	2182.8
1426	2214.2
1428	2195.8
1430	2157.2
1432	2122.6
1434	2156.8
1436	2197
1438	2247.4
1440	2285
1442	2309.6
1444	2282
1446	2245.4
1448	2232.4
1450	2198.8
