Kommentar: 
Zeit: 05.11.2024	10:50
Startenergie: 1250
Endenergie: 1450
Energieschritt: 1
Sensitivity: 30  uV
TC: 300 ms
Phase: Phase: 156
1250	4393.75
1251	4532.5
1252	4566.75
1253	4594.875
1254	4698.625
1255	4765.875
1256	4799
1257	4913.375
1258	4988.75
1259	5033.375
1260	4962.375
1261	4904.5
1262	4840
1263	4804.125
1264	4750.625
1265	4725
1266	4746.5
1267	4797.5
1268	4813.25
1269	4787
1270	4854.625
1271	4949.125
1272	4885.625
1273	4814.375
1274	4763.25
1275	4771
1276	4795.75
1277	4813
1278	4854.875
1279	4816.125
1280	4783
1281	4684
1282	4727.375
1283	4756.75
1284	4838
1285	4844.75
1286	4827.125
1287	4675.375
1288	4555.125
1289	4517
1290	4448.25
1291	4424.125
1292	4463
1293	4527.5
1294	4652.875
1295	4769.25
1296	4916.75
1297	5042.875
1298	5153
1299	5183
1300	5166
1301	5193.375
1302	5122.625
1303	4994
1304	4871.25
1305	4693.125
1306	4632
1307	4790.625
1308	4985.5
1309	5030.625
1310	5175.625
1311	5332.25
1312	5517.75
1313	5674.375
1314	5786.125
1315	5695.25
1316	5674.5
1317	5568.25
1318	5168.625
1319	4725.75
1320	4209
1321	3775
1322	3421.875
1323	3272.25
1324	3323.125
1325	3472.375
1326	3598.625
1327	3756.375
1328	3890.5
1329	4015.5
1330	4120.125
1331	4196.75
1332	4142
1333	4096
1334	4134.25
1335	4097
1336	4063
1337	3981
1338	3991.875
1339	3931.5
1340	3838.75
1341	3723
1342	3623.125
1343	3624.125
1344	3798
1345	4002.625
1346	4290.25
1347	4429.75
1348	4573
1349	4770.875
1350	4899.875
1351	4942.375
1352	4954.375
1353	4853
1354	4545.5
1355	4073.5
1356	3447.125
1357	2934.125
1358	2738.25
1359	2861.5
1360	3111.625
1361	3367
1362	3664.625
1363	3946.125
1364	4187.625
1365	4291
1366	4319.375
1367	4270.125
1368	3781.625
1369	2880.75
1370	1536.125
1371	186
1372	-1037.375
1373	-1868.625
1374	-2285
1375	-2375.25
1376	-2142.375
1377	-1694.5
1378	-1351
1379	-1102.75
1380	-932.75
1381	-1020.375
1382	-1062
1383	-1140
1384	-1146.375
1385	-1129.75
1386	-923.125
1387	-510.625
1388	-59.125
1389	391.625
1390	825.25
1391	1032.75
1392	1069
1393	868
1394	525.875
1395	345.375
1396	399
1397	787.125
1398	1302.875
1399	1918.625
1400	2470.625
1401	3020.125
1402	3453.375
1403	3816.375
1404	4097.875
1405	4282.875
1406	4244.5
1407	4220.75
1408	4210.25
1409	4195.75
1410	4105.25
1411	4176.25
1412	4315.25
1413	4386
1414	4441.125
1415	4465.875
1416	4475.125
1417	4386.125
1418	4422.375
1419	4413.875
1420	4464.125
1421	4771
1422	4860.875
1423	4849.25
1424	4883.125
1425	4904
1426	4783.75
1427	4774.125
1428	4698.5
1429	4725.5
1430	4623.375
1431	4609
1432	4574.375
1433	4519.625
1434	4431.5
1435	4332.125
1436	4190.625
1437	4231.5
1438	4402.75
1439	4487.75
1440	4556.125
1441	4563.875
1442	4617.375
1443	4757.625
1444	4802.375
1445	4772.375
1446	4763.5
1447	4767.375
1448	4710.5
1449	4578.25
1450	4547.25
