Kommentar: 
Zeit: 05.11.2024	11:42
Startenergie: 10
Endenergie: 1450
Energieschritt: 2
Sensitivity: 10 uV
TC: 300 ms
Phase: Phase: 156
10	-5.4
12	-39.4
14	-110.8
16	-171.6
18	-265.4
20	-152.4
22	178.4
24	442.6
26	649.6
28	733.8
30	703.8
32	594.8
34	425.6
36	261.4
38	176.8
40	171.6
42	169.4
44	169
46	185
48	193.6
50	190.8
52	196.8
54	244.8
56	343.6
58	469.6
60	583.4
62	652.6
64	822.2
66	812.2
68	-8.6
70	-1630.8
72	-3322.8
74	-4274.8
76	-4290
78	-3814.4
80	-3274.8
82	-2723.4
84	-2249.8
86	-1876.2
88	-1557.8
90	-1292.6
92	-1078.4
94	-915.6
96	-799.6
98	-704.8
100	-633.2
102	-570.8
104	-524
106	-498.6
108	-486.4
110	-479.8
112	-476.2
114	-473.8
116	-477.4
118	-480.4
120	-497.6
122	-513.4
124	-518.4
126	-527
128	-536
130	-547.2
132	-561
134	-562.2
136	-555
138	-551.2
140	-547.6
142	-545
144	-549
146	-553.2
148	-560.8
150	-569.2
152	-582.2
154	-590.6
156	-587.4
158	-583.6
160	-577.4
162	-580.8
164	-574.8
166	-578.4
168	-586.6
170	-601.2
172	-608
174	-605.4
176	-601
178	-595.2
180	-594.4
182	-606.4
184	-617.6
186	-627
188	-622
190	-625
192	-631.2
194	-636
196	-645.4
198	-648.4
200	-650.2
202	-661.4
204	-675
206	-679.4
208	-677.8
210	-682
212	-695.8
214	-696.8
216	-690.2
218	-682.4
220	-676
222	-670.2
224	-678.2
226	-671.4
228	-672.8
230	-674.4
232	-685
234	-678
236	-667.4
238	-668.8
240	-673
242	-671.4
244	-686.4
246	-700.6
248	-704.2
250	-706
252	-705.2
254	-707.6
256	-719
258	-728.2
260	-725.8
262	-733.4
264	-730.4
266	-744.2
268	-748.4
270	-769.4
272	-796.2
274	-815.4
276	-836.6
278	-850.8
280	-849.2
282	-836.2
284	-826.2
286	-818.8
288	-819
290	-807.6
292	-801
294	-790.6
296	-786.6
298	-781.4
300	-764.8
302	-765
304	-767.8
306	-774.4
308	-784.8
310	-787.8
312	-782.6
314	-780.4
316	-784.2
318	-781.6
320	-786
322	-797.8
324	-807.8
326	-807.8
328	-801.8
330	-802.4
332	-795.2
