Kommentar: 
Zeit: 05.11.2024	10:12
Startenergie: 10
Endenergie: 1450
Energieschritt: 2
Sensitivity: 100 uV
TC: 300 ms
Phase: Phase: 156
10	7154.8
12	6994.4
14	6835.2
16	6729.4
18	5153
20	6391.6
22	9043.4
24	10849.4
26	12592.2
28	12759.6
30	11894.8
32	10516.8
34	8845.8
36	7234.2
38	6089.4
40	4580.6
42	3326.2
44	2277.6
46	1645.4
48	1446.8
50	1669.2
52	2131.2
54	2506.8
56	2566.6
58	2301.4
60	1433
62	-257
64	-2986.2
66	-6724.2
68	-9935.8
70	-11990
72	-13431
74	-14173
76	-13426.8
78	-11762
80	-9762.4
82	-8137.2
84	-6744.4
86	-5654
88	-4633.6
90	-3735.8
92	-2902.8
94	-2115.2
96	-1425.2
98	-770.8
100	-298.6
102	126.2
104	471
106	682.8
108	838
110	945.4
112	1018
114	1040.2
116	1056.2
118	1063.6
120	1108.6
122	1186.4
124	1229.8
126	1279
128	1342.2
130	1400.2
132	1458.6
134	1488
136	1508
138	1514
140	1475.2
142	1480.6
144	1604.2
146	1752.2
148	1795.4
150	1620.8
152	1321.4
154	1039.4
156	926.4
158	915.2
160	981.4
162	1056
164	1137.6
166	1183.2
168	1213.4
170	1229.4
172	1245.2
174	1285
176	1342
178	1380.2
180	1412.8
182	1428.4
184	1447
186	1425.6
188	1399.8
190	1400.4
192	1404.4
194	1439
196	1487.6
198	1489.2
200	1473.2
202	1475.2
204	1505
206	1505.6
208	1477.4
210	1470.2
212	1499.2
214	1530.2
216	1560.2
218	1591.8
220	1629.4
222	1654.4
224	1683.2
226	1734.4
228	1829.6
230	1923.6
232	2059.2
234	2190
236	2325
238	2484.6
240	2673.8
242	2930.6
244	3216.8
246	3624.4
248	4008
250	4213.4
252	4206
254	4062.4
256	3824.2
258	3654.2
260	3622
262	3837
264	4166.2
266	4151.2
268	2848
270	306.2
272	-2957
274	-5944
276	-8019.8
278	-8843.8
280	-8618.8
282	-7645.8
284	-6397
286	-5071.2
288	-3738.6
290	-2736
292	-1881.6
294	-1227.6
296	-728.8
298	-307.2
300	-22.8
302	219.4
304	410
306	547.2
308	652.6
310	713.4
312	728.2
314	753.6
316	813.4
318	860.8
320	833.8
322	760.4
324	752.8
326	793.6
328	783.2
330	812.2
