Kommentar: 
Zeit: 05.11.2024	10:56
Startenergie: 1250
Endenergie: 1450
Energieschritt: 1
Sensitivity: 30  uV
TC: 300 ms
Phase: Phase: 156
1250	3971.3
1251	3858.7
1252	3931.1
1253	4001
1254	4002.6
1255	3943.5
1256	3972.5
1257	4034.7
1258	4037.7
1259	4043.3
1260	4064.5
1261	4090.8
1262	4053.7
1263	4034.2
1264	4056.1
1265	4095.8
1266	4100.9
1267	4137.3
1268	4196.5
1269	4203.6
1270	4227.6
1271	4203.9
1272	4237.5
1273	4346.2
1274	4413.8
1275	4451.6
1276	4480.7
1277	4404.4
1278	4267
1279	4184.5
1280	4230.2
1281	4284.3
1282	4327
1283	4241.1
1284	4184
1285	4095.9
1286	4057.4
1287	4112
1288	4148.4
1289	4132.2
1290	4055.3
1291	4112.3
1292	4184.5
1293	4103.6
1294	4047.3
1295	4048.1
1296	4080
1297	4181.1
1298	4345.5
1299	4551.7
1300	4635.8
1301	4564
1302	4489.2
1303	4383.7
1304	4298.6
1305	4164
1306	4044
1307	3959.2
1308	3980.1
1309	4074.3
1310	4289.5
1311	4499.8
1312	4698.6
1313	4863.4
1314	4950.5
1315	5002.7
1316	4917.4
1317	4767.2
1318	4498.7
1319	4204.6
1320	3827
1321	3449.5
1322	3079.3
1323	2853.5
1324	2834.2
1325	3051.9
1326	3312.1
1327	3464.7
1328	3575.2
1329	3603
1330	3671.5
1331	3719.6
1332	3756.9
1333	3773.5
1334	3726.4
1335	3656.8
1336	3610.6
1337	3558.8
1338	3471.1
1339	3267.9
1340	3111.5
1341	3028.8
1342	2957.6
1343	3047.7
1344	3260.7
1345	3515.8
1346	3781.4
1347	4002.9
1348	4155.7
1349	4307.7
1350	4412.7
1351	4471
1352	4394.8
1353	4212
1354	3918
1355	3531.5
1356	3211.2
1357	2994.2
1358	2856.5
1359	2796.2
1360	2783.9
1361	2934.5
1362	3190.1
1363	3502.7
1364	3759.8
1365	4041.8
1366	4189.9
1367	4149.9
1368	3826.8
1369	3091.5
1370	2111.2
1371	1023.9
1372	-32.6
1373	-871.5
1374	-1404.9
1375	-1625.8
1376	-1528.9
1377	-1179.2
1378	-827.7
1379	-550.9
1380	-493.6
1381	-487
1382	-534.2
1383	-509.8
1384	-431.6
1385	-341.1
1386	-224.5
1387	78.7
1388	486.9
1389	947.3
1390	1345.4
1391	1515.5
1392	1445.7
1393	1178.3
1394	865.3
1395	714.8
1396	778.6
1397	1075.3
1398	1556
1399	2058.5
1400	2519
1401	2921.6
1402	3213.8
1403	3545
1404	3803.5
1405	3941.8
1406	4044.2
1407	3997
1408	3947.4
1409	3962
1410	3946.6
1411	3946.5
1412	4041.1
1413	4073.1
1414	4031.6
1415	3961
1416	3839.3
1417	3782.4
1418	3714.7
1419	3709.8
1420	3767.1
1421	3793.1
1422	3741.5
1423	3745.5
1424	3751.6
1425	3765.5
1426	3661
1427	3682.7
1428	3807.2
1429	3864.8
1430	3954.3
1431	4043.6
1432	4149.8
1433	4218.2
1434	4233.1
1435	4199
1436	4167.4
1437	4223
1438	4252.5
1439	4267.5
1440	4275.6
1441	4227.4
1442	4277.4
1443	4312.4
1444	4224.2
1445	4285.6
1446	4369.5
1447	4475.4
1448	4513.5
1449	4541.5
1450	4485.7
