Kommentar: 
Zeit: 05.11.2024	16:04
Startenergie: 950
Endenergie: 1050
Energieschritt: 0
Sensitivity: 10 mV
TC: 300 ms
Phase: Phase: 156
950	-278
950.5	-215
951	99
951.5	432
952	726
952.5	992
953	1212
953.5	1396
954	1547
954.5	1665
955	1762
955.5	1842
956	1902
956.5	1967
957	2030
957.5	2073
958	2104
958.5	2127
959	2158
959.5	2199
960	2228
960.5	2228
961	2231
961.5	2242
962	2245
962.5	2237
963	2209
963.5	2185
964	2185
964.5	2193
965	2194
965.5	2207
966	2226
966.5	2245
967	2275
967.5	2307
968	2348
968.5	2386
969	2415
969.5	2442
970	2454
970.5	2485
971	2515
971.5	2509
972	2513
972.5	2512
973	2509
973.5	2513
974	2523
974.5	2534
975	2549
975.5	2557
976	2561
976.5	2580
977	2583
977.5	2579
978	2552
978.5	2494
979	2419
979.5	2349
980	2298
980.5	2268
981	2227
981.5	2217
982	2212
982.5	2191
983	2175
983.5	2160
984	2128
984.5	2092
985	2080
985.5	2099
986	2134
986.5	2156
987	2187
987.5	2230
988	2290
988.5	2346
989	2408
989.5	2492
990	2546
990.5	2612
991	2656
991.5	2641
992	2595
992.5	2507
993	2380
993.5	2225
994	2059
994.5	1907
995	1696
995.5	1544
996	1411
996.5	1331
997	1283
997.5	1257
998	1292
998.5	1372
999	1550
999.5	1769
1000	2076
1000.5	2419
1001	2709
1001.5	3044
1002	3321
1002.5	3577
1003	3825
1003.5	4044
1004	4307
1004.5	4555
1005	4722
1005.5	4840
1006	4910
1006.5	4874
1007	4724
1007.5	4481
1008	4068
1008.5	3643
1009	3144
1009.5	2672
1010	2106
1010.5	1593
1011	1040
1011.5	622
1012	294
1012.5	90
1013	-4
1013.5	49
1014	244
1014.5	571
1015	998
1015.5	1536
1016	2043
1016.5	2602
1017	3070
1017.5	3523
1018	3913
1018.5	4320
1019	4784
1019.5	5157
1020	5482
1020.5	5754
1021	5933
1021.5	5905
1022	5629
1022.5	5151
1023	4426
1023.5	3478
1024	2429
1024.5	1154
1025	-479
1025.5	-2269
1026	-3967
1026.5	-5451
1027	-6648
1027.5	-7784
1028	-8551
1028.5	-9009
1029	-9147
1029.5	-9024
1030	-8692
1030.5	-8273
1031	-7939
1031.5	-7711
1032	-7650
1032.5	-7746
1033	-8006
1033.5	-8300
1034	-8641
1034.5	-9007
1035	-9236
1035.5	-9236
1036	-8986
1036.5	-8486
1037	-7793
1037.5	-7014
1038	-5941
1038.5	-5102
1039	-4340
1039.5	-3804
1040	-3443
1040.5	-3330
1041	-3442
1041.5	-3755
1042	-4256
1042.5	-4767
1043	-5272
1043.5	-5635
1044	-5766
1044.5	-5662
1045	-5376
1045.5	-4893
1046	-4240
1046.5	-3454
1047	-2669
1047.5	-1897
1048	-1134
1048.5	-515
1049	0
1049.5	407
1050	757
