Kommentar: 
Zeit: 05.11.2024	16:08
Startenergie: 950
Endenergie: 1050
Energieschritt: 0
Sensitivity: 10 mV
TC: 300 ms
Phase: Phase: 156
950	585.5
950.5	729
951	987
951.5	1266
952	1491
952.5	1669.5
953	1842
953.5	1973
954	2076.5
954.5	2183.5
955	2267.5
955.5	2328
956	2373.5
956.5	2407.5
957	2454
957.5	2481
958	2503
958.5	2508
959	2513
959.5	2520
960	2525.5
960.5	2530
961	2529
961.5	2522
962	2521
962.5	2524
963	2515
963.5	2512.5
964	2499
964.5	2493.5
965	2491.5
965.5	2494.5
966	2522
966.5	2549.5
967	2575
967.5	2607
968	2622.5
968.5	2641
969	2650.5
969.5	2657.5
970	2662
970.5	2678
971	2706
971.5	2724
972	2730
972.5	2731.5
973	2736.5
973.5	2738
974	2749.5
974.5	2751.5
975	2743.5
975.5	2744.5
976	2756.5
976.5	2740.5
977	2722
977.5	2715.5
978	2698
978.5	2668
979	2643.5
979.5	2613
980	2576
980.5	2543.5
981	2508.5
981.5	2455.5
982	2394
982.5	2363.5
983	2344.5
983.5	2327
984	2315
984.5	2305
985	2303.5
985.5	2295
986	2295.5
986.5	2320
987	2355.5
987.5	2409.5
988	2461.5
988.5	2527
989	2601
989.5	2683.5
990	2754.5
990.5	2816
991	2848.5
991.5	2854.5
992	2806.5
992.5	2701
993	2583
993.5	2454.5
994	2299.5
994.5	2137.5
995	1944
995.5	1764.5
996	1617
996.5	1506.5
997	1453.5
997.5	1451
998	1505
998.5	1611.5
999	1800
999.5	2033
1000	2309.5
1000.5	2582.5
1001	2855
1001.5	3153.5
1002	3434.5
1002.5	3748
1003	4061
1003.5	4344.5
1004	4577
1004.5	4804
1005	4974
1005.5	5115.5
1006	5176
1006.5	5109.5
1007	4922.5
1007.5	4655
1008	4311.5
1008.5	3912.5
1009	3393
1009.5	2823
1010	2279
1010.5	1755
1011	1237
1011.5	804.5
1012	434.5
1012.5	193.5
1013	110.5
1013.5	193.5
1014	435.5
1014.5	773
1015	1197.5
1015.5	1682.5
1016	2202.5
1016.5	2707.5
1017	3205
1017.5	3665.5
1018	4090.5
1018.5	4562
1019	4986
1019.5	5385
1020	5784.5
1020.5	6062.5
1021	6241
1021.5	6237
1022	6026
1022.5	5609
1023	4967.5
1023.5	4016
1024	2886.5
1024.5	1417
1025	-126
1025.5	-1753
1026	-3557.5
1026.5	-5147
1027	-6519.5
1027.5	-7742.5
1028	-8578
1028.5	-9028.5
1029	-9090
1029.5	-8880
1030	-8509
1030.5	-8117
1031	-7730.5
1031.5	-7492.5
1032	-7416.5
1032.5	-7523.5
1033	-7808
1033.5	-8172
1034	-8562
1034.5	-8969
1035	-9210.5
1035.5	-9250
1036	-9005
1036.5	-8481
1037	-7653
1037.5	-6781
1038	-5885
1038.5	-5012.5
1039	-4304.5
1039.5	-3724
1040	-3358.5
1040.5	-3243.5
1041	-3372
1041.5	-3717
1042	-4213
1042.5	-4785.5
1043	-5304
1043.5	-5675
1044	-5797.5
1044.5	-5696.5
1045	-5389.5
1045.5	-4936.5
1046	-4300
1046.5	-3489.5
1047	-2638
1047.5	-1821
1048	-1021
1048.5	-368.5
1049	161
1049.5	586.5
1050	915.5
