Kommentar: 
Zeit: 14.11.2024	14:18
Startenergie: 900
Endenergie: 1100
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
900	27
900.5	26
901	44
901.5	64
902	86
902.5	95
903	118
903.5	146
904	169
904.5	193
905	202
905.5	200
906	201
906.5	205
907	204
907.5	198
908	187
908.5	177
909	169
909.5	159
910	145
910.5	139
911	151
911.5	174
912	173
912.5	175
913	183
913.5	172
914	166
914.5	169
915	173
915.5	163
916	164
916.5	165
917	173
917.5	181
918	207
918.5	224
919	236
919.5	246
920	264
920.5	269
921	274
921.5	282
922	287
922.5	287
923	297
923.5	301
924	297
924.5	297
925	295
925.5	290
926	287
926.5	281
927	273
927.5	260
928	249
928.5	242
929	237
929.5	236
930	230
930.5	225
931	220
931.5	226
932	237
932.5	248
933	260
933.5	262
934	270
934.5	282
935	303
935.5	320
936	340
936.5	360
937	378
937.5	391
938	408
938.5	413
939	407
939.5	400
940	389
940.5	374
941	357
941.5	330
942	302
942.5	290
943	287
943.5	283
944	279
944.5	283
945	300
945.5	306
946	309
946.5	309
947	311
947.5	329
948	348
948.5	376
949	407
949.5	455
950	497
950.5	526
951	537
951.5	553
952	573
952.5	593
953	611
953.5	619
954	616
954.5	600
955	577
955.5	546
956	503
956.5	465
957	429
957.5	398
958	369
958.5	348
959	331
959.5	314
960	297
960.5	295
961	293
961.5	300
962	323
962.5	353
963	393
963.5	434
964	495
964.5	574
965	658
965.5	731
966	794
966.5	852
967	910
967.5	939
968	940
968.5	927
969	911
969.5	862
970	804
970.5	735
971	666
971.5	602
972	531
972.5	461
973	394
973.5	315
974	252
974.5	184
975	110
975.5	68
976	65
976.5	93
977	142
977.5	229
978	337
978.5	468
979	611
979.5	783
980	939
980.5	1076
981	1196
981.5	1289
982	1349
982.5	1366
983	1342
983.5	1265
984	1138
984.5	967
985	789
985.5	607
986	441
986.5	260
987	118
987.5	-7
988	-128
988.5	-233
989	-304
989.5	-374
990	-423
990.5	-469
991	-489
991.5	-488
992	-474
992.5	-441
993	-375
993.5	-271
994	-146
994.5	11
995	183
995.5	382
996	600
996.5	800
997	1031
997.5	1282
998	1504
998.5	1680
999	1808
999.5	1898
1000	1919
1000.5	1884
1001	1799
1001.5	1673
1002	1487
1002.5	1284
1003	1076
1003.5	796
1004	519
1004.5	239
1005	-83
1005.5	-420
1006	-786
1006.5	-1078
1007	-1310
1007.5	-1464
1008	-1565
1008.5	-1598
1009	-1520
1009.5	-1274
1010	-980
1010.5	-577
1011	54
1011.5	750
1012	1540
1012.5	2278
1013	2957
1013.5	3702
1014	4280
1014.5	4738
1015	4924
1015.5	4952
1016	4721
1016.5	4245
1017	3601
1017.5	2889
1018	2095
1018.5	1158
1019	215
1019.5	-1024
1020	-1979
1020.5	-2972
1021	-3748
1021.5	-4368
1022	-5015
1022.5	-5527
1023	-5937
1023.5	-6210
1024	-6289
1024.5	-6175
1025	-5891
1025.5	-5464
1026	-4814
1026.5	-4114
1027	-3315
1027.5	-2643
1028	-2081
1028.5	-1739
1029	-1637
1029.5	-1805
1030	-2155
1030.5	-2657
1031	-3372
1031.5	-4052
1032	-4860
1032.5	-5412
1033	-5857
1033.5	-6074
1034	-6068
1034.5	-5850
1035	-5461
1035.5	-4856
1036	-4253
1036.5	-3794
1037	-3454
1037.5	-3260
1038	-3210
1038.5	-3252
1039	-3339
1039.5	-3454
1040	-3543
1040.5	-3617
1041	-3627
1041.5	-3516
1042	-3254
1042.5	-2907
1043	-2506
1043.5	-1998
1044	-1511
1044.5	-1118
1045	-819
1045.5	-568
1046	-390
1046.5	-251
1047	-125
1047.5	-61
1048	-9
1048.5	21
1049	47
1049.5	68
1050	86
1050.5	100
1051	102
1051.5	105
1052	106
1052.5	109
1053	111
1053.5	106
1054	103
1054.5	101
1055	101
1055.5	103
1056	108
1056.5	110
1057	106
1057.5	101
1058	99
1058.5	101
1059	104
1059.5	109
1060	107
1060.5	101
1061	96
1061.5	98
1062	105
1062.5	109
1063	107
1063.5	107
1064	107
1064.5	109
1065	106
1065.5	101
1066	103
1066.5	104
1067	105
1067.5	104
1068	103
1068.5	104
1069	106
1069.5	112
1070	112
1070.5	109
1071	109
1071.5	114
1072	120
1072.5	119
1073	119
1073.5	123
1074	125
1074.5	123
1075	118
1075.5	116
1076	114
1076.5	117
1077	117
1077.5	113
1078	105
1078.5	107
1079	112
1079.5	119
1080	120
1080.5	115
1081	107
1081.5	94
1082	94
1082.5	93
1083	85
1083.5	84
1084	87
1084.5	97
1085	108
1085.5	120
1086	122
1086.5	119
1087	109
1087.5	95
1088	93
1088.5	94
1089	92
1089.5	95
1090	101
1090.5	108
1091	104
1091.5	104
1092	108
1092.5	120
1093	129
1093.5	129
1094	123
1094.5	119
1095	108
1095.5	111
1096	121
1096.5	121
1097	125
1097.5	130
1098	127
1098.5	122
1099	112
1099.5	117
1100	125
