Kommentar: 
Zeit: 14.11.2024	14:14
Startenergie: 900
Endenergie: 1100
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
900	55
900.5	51
901	81
901.5	113
902	149
902.5	189
903	213
903.5	229
904	241
904.5	253
905	260
905.5	276
906	293
906.5	304
907	304
907.5	305
908	303
908.5	298
909	281
909.5	273
910	271
910.5	276
911	283
911.5	282
912	280
912.5	274
913	269
913.5	270
914	264
914.5	254
915	248
915.5	247
916	253
916.5	257
917	265
917.5	274
918	287
918.5	294
919	304
919.5	330
920	356
920.5	370
921	376
921.5	385
922	403
922.5	408
923	400
923.5	394
924	384
924.5	373
925	366
925.5	354
926	343
926.5	328
927	327
927.5	330
928	329
928.5	321
929	322
929.5	319
930	307
930.5	304
931	311
931.5	314
932	315
932.5	329
933	352
933.5	366
934	376
934.5	397
935	427
935.5	450
936	468
936.5	483
937	496
937.5	501
938	504
938.5	505
939	507
939.5	504
940	494
940.5	476
941	453
941.5	427
942	409
942.5	399
943	391
943.5	372
944	354
944.5	338
945	326
945.5	330
946	338
946.5	348
947	359
947.5	386
948	418
948.5	457
949	499
949.5	534
950	574
950.5	614
951	649
951.5	684
952	712
952.5	729
953	730
953.5	729
954	735
954.5	728
955	704
955.5	677
956	644
956.5	601
957	561
957.5	511
958	474
958.5	436
959	402
959.5	376
960	359
960.5	356
961	351
961.5	361
962	392
962.5	431
963	492
963.5	553
964	612
964.5	703
965	794
965.5	882
966	952
966.5	1007
967	1058
967.5	1088
968	1084
968.5	1069
969	1045
969.5	1004
970	947
970.5	881
971	806
971.5	726
972	649
972.5	573
973	489
973.5	392
974	299
974.5	232
975	185
975.5	147
976	133
976.5	141
977	177
977.5	254
978	380
978.5	514
979	663
979.5	850
980	1035
980.5	1203
981	1351
981.5	1459
982	1503
982.5	1510
983	1478
983.5	1406
984	1307
984.5	1125
985	928
985.5	710
986	520
986.5	349
987	187
987.5	30
988	-101
988.5	-216
989	-297
989.5	-360
990	-419
990.5	-445
991	-460
991.5	-470
992	-449
992.5	-405
993	-338
993.5	-245
994	-132
994.5	35
995	260
995.5	499
996	732
996.5	968
997	1240
997.5	1466
998	1670
998.5	1830
999	1959
999.5	2046
1000	2071
1000.5	2050
1001	1978
1001.5	1793
1002	1559
1002.5	1293
1003	1017
1003.5	692
1004	386
1004.5	52
1005	-313
1005.5	-665
1006	-935
1006.5	-1169
1007	-1379
1007.5	-1533
1008	-1623
1008.5	-1623
1009	-1514
1009.5	-1312
1010	-922
1010.5	-399
1011	365
1011.5	1050
1012	1848
1012.5	2597
1013	3452
1013.5	4111
1014	4663
1014.5	5079
1015	5248
1015.5	5246
1016	4948
1016.5	4421
1017	3742
1017.5	2863
1018	1887
1018.5	782
1019	-251
1019.5	-1275
1020	-2221
1020.5	-3001
1021	-3903
1021.5	-4593
1022	-5258
1022.5	-5771
1023	-6192
1023.5	-6500
1024	-6523
1024.5	-6298
1025	-5881
1025.5	-5231
1026	-4543
1026.5	-3901
1027	-3110
1027.5	-2466
1028	-2003
1028.5	-1749
1029	-1692
1029.5	-1918
1030	-2263
1030.5	-2784
1031	-3563
1031.5	-4288
1032	-5069
1032.5	-5604
1033	-6009
1033.5	-6140
1034	-6071
1034.5	-5851
1035	-5445
1035.5	-4910
1036	-4332
1036.5	-3792
1037	-3438
1037.5	-3281
1038	-3236
1038.5	-3298
1039	-3410
1039.5	-3549
1040	-3667
1040.5	-3759
1041	-3765
1041.5	-3647
1042	-3385
1042.5	-2999
1043	-2566
1043.5	-2012
1044	-1558
1044.5	-1080
1045	-739
1045.5	-450
1046	-267
1046.5	-119
1047	-20
1047.5	46
1048	88
1048.5	119
1049	144
1049.5	156
1050	163
1050.5	173
1051	187
1051.5	192
1052	201
1052.5	207
1053	205
1053.5	208
1054	206
1054.5	201
1055	198
1055.5	198
1056	196
1056.5	196
1057	201
1057.5	201
1058	197
1058.5	200
1059	202
1059.5	203
1060	203
1060.5	207
1061	209
1061.5	210
1062	208
1062.5	206
1063	203
1063.5	200
1064	199
1064.5	202
1065	209
1065.5	212
1066	210
1066.5	210
1067	209
1067.5	208
1068	210
1068.5	203
1069	198
1069.5	197
1070	198
1070.5	200
1071	202
1071.5	203
1072	203
1072.5	204
1073	207
1073.5	207
1074	205
1074.5	203
1075	212
1075.5	212
1076	209
1076.5	209
1077	210
1077.5	208
1078	209
1078.5	210
1079	208
1079.5	201
1080	195
1080.5	197
1081	201
1081.5	202
1082	202
1082.5	204
1083	202
1083.5	200
1084	203
1084.5	200
1085	190
1085.5	186
1086	188
1086.5	191
1087	196
1087.5	197
1088	197
1088.5	197
1089	198
1089.5	199
1090	204
1090.5	204
1091	200
1091.5	195
1092	196
1092.5	196
1093	195
1093.5	198
1094	203
1094.5	203
1095	204
1095.5	209
1096	208
1096.5	208
1097	212
1097.5	217
1098	220
1098.5	224
1099	224
1099.5	219
1100	217
