Kommentar: 
Zeit: 16.10.2024	11:39
Startenergie: 120
Endenergie: 200
Energieschritt: 0
Sensitivity: 100 mV
TC: 300 ms
Phase: Phase: 145
120	7
120.25	11
120.5	11
120.75	11
121	7
121.25	10
121.5	11
121.75	12
122	11
122.25	9
122.5	9
122.75	13
123	10
123.25	13
123.5	11
123.75	9
124	13
124.25	14
124.5	15
124.75	13
125	13
125.25	15
125.5	15
125.75	14
126	15
126.25	15
126.5	18
126.75	18
127	14
127.25	15
127.5	17
127.75	14
128	19
128.25	17
128.5	14
128.75	16
129	16
129.25	11
129.5	14
129.75	12
130	15
130.25	12
130.5	11
130.75	12
131	9
131.25	9
131.5	10
131.75	12
132	8
132.25	10
132.5	8
132.75	12
133	11
133.25	10
133.5	11
133.75	12
134	11
134.25	13
134.5	9
134.75	12
135	13
135.25	13
135.5	9
135.75	13
136	11
136.25	16
136.5	13
136.75	16
137	13
137.25	15
137.5	16
137.75	14
138	18
138.25	17
138.5	18
138.75	18
139	18
139.25	21
139.5	24
139.75	24
140	23
140.25	27
140.5	27
140.75	28
141	30
141.25	27
141.5	32
141.75	31
142	32
142.25	36
142.5	35
142.75	37
143	39
143.25	39
143.5	36
143.75	36
144	37
144.25	29
144.5	26
144.75	30
145	26
145.25	22
145.5	24
145.75	21
146	18
146.25	7
146.5	9
146.75	7
147	6
147.25	3
147.5	4
147.75	7
148	8
148.25	7
148.5	12
148.75	10
149	13
149.25	12
149.5	16
149.75	17
150	16
150.25	16
150.5	15
150.75	15
151	17
151.25	20
151.5	20
151.75	17
152	18
152.25	19
152.5	19
152.75	20
153	23
153.25	26
153.5	24
153.75	23
154	27
154.25	27
154.5	26
154.75	29
155	28
155.25	31
155.5	33
155.75	33
156	42
156.25	37
156.5	49
156.75	62
157	62
157.25	61
157.5	72
157.75	81
158	107
158.25	111
158.5	99
158.75	114
159	109
159.25	120
159.5	115
159.75	116
160	107
160.25	90
160.5	63
160.75	44
161	8
161.25	46
161.5	-2
161.75	0
162	-9
162.25	-16
162.5	-19
162.75	-13
163	5
163.25	6
163.5	18
163.75	32
164	31
164.25	36
164.5	21
164.75	28
165	24
165.25	10
165.5	-3
165.75	-5
166	-25
166.25	-40
166.5	-52
166.75	-74
167	-74
167.25	-82
167.5	-105
167.75	-120
168	-126
168.25	-127
168.5	-135
168.75	-131
169	-136
169.25	-138
169.5	-137
169.75	-136
170	-135
170.25	-135
170.5	-94
170.75	-105
171	-72
171.25	-77
171.5	-37
171.75	17
172	84
172.25	202
172.5	169
172.75	315
173	403
173.25	582
173.5	533
173.75	730
174	937
174.25	1212
174.5	1095
174.75	1215
175	1298
175.25	1245
175.5	1056
175.75	623
176	197
176.25	-595
176.5	-1037
176.75	-628
177	-1535
177.25	-1580
177.5	-1713
177.75	-1732
178	-1656
178.25	-992
178.5	-1275
178.75	-785
179	-965
179.25	-582
179.5	-385
179.75	-207
180	-376
180.25	-109
180.5	-113
180.75	-41
181	-18
181.25	-13
181.5	-1
181.75	1
182	2
182.25	2
182.5	2
182.75	2
183	2
183.25	2
183.5	2
183.75	3
184	1
184.25	3
184.5	3
184.75	2
185	2
185.25	2
185.5	2
185.75	1
186	1
186.25	2
186.5	0
186.75	1
187	0
187.25	0
187.5	0
187.75	1
188	2
188.25	1
188.5	1
188.75	2
189	2
189.25	2
189.5	2
189.75	2
190	2
190.25	1
190.5	2
190.75	2
191	2
191.25	2
191.5	2
191.75	2
192	2
192.25	2
192.5	2
192.75	2
193	2
193.25	2
193.5	2
193.75	2
194	2
194.25	2
194.5	2
194.75	2
195	2
195.25	2
195.5	2
195.75	2
196	2
196.25	2
196.5	2
196.75	2
197	2
197.25	2
197.5	2
197.75	3
198	1
198.25	2
198.5	2
198.75	2
199	2
199.25	2
199.5	2
199.75	1
200	1
