Kommentar: 
Zeit: 14.11.2024	14:37
Startenergie: 120
Endenergie: 230
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
120	-85
120.5	-119
121	6
121.5	48
122	86
122.5	141
123	210
123.5	322
124	356
124.5	403
125	469
125.5	475
126	400
126.5	277
127	228
127.5	251
128	275
128.5	272
129	314
129.5	384
130	439
130.5	398
131	422
131.5	486
132	535
132.5	567
133	576
133.5	557
134	582
134.5	584
135	585
135.5	576
136	608
136.5	611
137	529
137.5	512
138	514
138.5	553
139	521
139.5	481
140	469
140.5	536
141	556
141.5	547
142	591
142.5	656
143	666
143.5	674
144	633
144.5	635
145	648
145.5	683
146	726
146.5	756
147	824
147.5	878
148	894
148.5	927
149	1000
149.5	1066
150	1110
150.5	1156
151	1172
151.5	1194
152	1262
152.5	1294
153	1279
153.5	1267
154	1307
154.5	1268
155	1215
155.5	1121
156	1021
156.5	973
157	1023
157.5	1107
158	1113
158.5	1108
159	1078
159.5	1157
160	1307
160.5	1445
161	1512
161.5	1593
162	1665
162.5	1743
163	1784
163.5	1806
164	1846
164.5	1938
165	2073
165.5	2276
166	2502
166.5	2670
167	2765
167.5	2799
168	2777
168.5	2655
169	2536
169.5	2365
170	2137
170.5	1905
171	1633
171.5	1413
172	1178
172.5	1023
173	835
173.5	725
174	723
174.5	781
175	1048
175.5	1290
176	1575
176.5	1839
177	2138
177.5	2409
178	2676
178.5	2959
179	3305
179.5	3632
180	3893
180.5	4269
181	4786
181.5	5343
182	5824
182.5	6101
183	6330
183.5	6258
184	5993
184.5	5299
185	4280
185.5	3095
186	1596
186.5	210
187	-913
187.5	-1954
188	-2590
188.5	-3006
189	-2902
189.5	-2171
190	-932
190.5	304
191	1639
191.5	2523
192	3034
192.5	2830
193	1903
193.5	180
194	-1898
194.5	-4142
195	-6195
195.5	-7571
196	-7482
196.5	-5487
197	-615
197.5	5105
198	8734
198.5	11610
199	13280
199.5	14605
200	15000
200.5	14903
201	11675
201.5	2250
202	-3027
202.5	-7113
203	-9967
203.5	-11961
204	-13452
204.5	-14333
205	-15000
205.5	-15000
206	-15000
206.5	-15000
207	-14891
207.5	-13231
208	-10600
208.5	-8412
209	-6979
209.5	-5527
210	-4443
210.5	-3656
211	-2977
211.5	-2425
212	-1991
212.5	-1729
213	-1553
213.5	-1414
214	-1254
214.5	-1114
215	-957
215.5	-931
216	-901
216.5	-828
217	-698
217.5	-627
218	-612
218.5	-612
219	-585
219.5	-545
220	-514
220.5	-520
221	-587
221.5	-633
222	-605
222.5	-552
223	-503
223.5	-476
224	-441
224.5	-391
225	-352
225.5	-330
226	-318
226.5	-388
227	-468
227.5	-486
228	-457
228.5	-436
229	-439
229.5	-391
230	-339
