Kommentar:
Zeit: 05.11.2024	10:36
Startenergie: 10
Endenergie: 1450
Energieschritt: 2
Sensitivity: 100 uV
TC: 300 ms
Phase: Phase: 156
10	2162.8
12	2076.6
14	1957.2
16	2074
18	1740
20	2503
22	4326.4
24	5919.2
26	6931.2
28	7059.4
30	6606.2
32	5816.4
34	5006.2
36	4243.8
38	4015.2
40	4198.4
42	4499.8
44	4808.2
46	5059.4
48	5192.8
50	5237.6
52	5328.2
54	5716.8
56	6320.8
58	7181.4
60	8178
62	9597.2
64	11363.6
66	11080.4
68	6656.6
70	-405.2
72	-5668.8
74	-8537.8
76	-8897.4
78	-7886
80	-6492.6
82	-5111.4
84	-4122.2
86	-3457.4
88	-2858.8
90	-2247.4
92	-1685.4
94	-1184.4
96	-746.8
98	-392.6
100	-96.8
102	128
104	326.8
106	481.8
108	570.4
110	632.8
112	653.2
114	640
116	603.2
118	574.2
120	553
122	533.2
124	503.8
126	469.8
128	449
130	436.2
132	431.6
134	432.6
136	417.6
138	423.2
140	452
142	448.4
144	417
146	407.6
148	410.4
150	399.6
152	389.8
154	383.8
156	380.4
158	381.2
160	385.2
162	393.6
164	390.2
166	374.6
168	367
170	341.6
172	317
174	289.6
176	253
178	235.8
180	211.2
182	166.4
184	155
186	168.4
188	191.6
190	203.8
192	207.4
194	194.4
196	174.6
198	153.2
200	152
202	154.4
204	149.8
206	139.8
208	154.6
210	158.4
212	177.8
214	187.2
216	167.2
218	143.8
220	144.4
222	142.2
224	137.2
226	145.2
228	140.2
230	134.4
232	154.6
234	166.2
236	176.8
238	162.6
240	140.6
242	130.4
244	112.6
246	90.2
248	44.8
250	19.2
252	10.4
254	0.2
256	-19
258	-63.4
260	-106.2
262	-123.4
264	-132.4
266	-125
268	-141.8
270	-208.2
272	-267.4
274	-315.2
276	-327
278	-324.8
280	-306
282	-286.4
284	-254.4
286	-237.6
288	-228.4
290	-215.8
292	-188.8
294	-184.4
296	-212.4
298	-223.4
300	-190
302	-151.2
304	-106.6
306	-107.2
308	-126.8
310	-135.2
312	-138
314	-132.6
316	-106.6
318	-76.2
320	-88.2
322	-110.4
324	-132.2
326	-110.4
328	-94.4
330	-87.8
332	-78.2
334	-85.4
336	-108.2
338	-116.4
340	-104.2
342	-94.8
344	-83.2
