Kommentar: 
Zeit: 05.11.2024	16:46
Startenergie: 175
Endenergie: 215
Energieschritt: 0
Sensitivity: 10 mV
TC: 100 ms
Phase: Phase: 156
175	6.7
175.5	8.6
176	13.8
176.5	17
177	17.6
177.5	17.4
178	16.7
178.5	16.1
179	15.6
179.5	16.4
180	17.5
180.5	20.1
181	23.3
181.5	27.9
182	33.4
182.5	39
183	43.7
183.5	46.4
184	46.6
184.5	43.9
185	39.5
185.5	34.5
186	30.9
186.5	29.1
187	28.2
187.5	29.1
188	31
188.5	34.6
189	42.5
189.5	50
190	51.1
190.5	43.2
191	22.3
191.5	-6.2
192	-40.2
192.5	-70.4
193	-95.9
193.5	-122.4
194	-142.2
194.5	-152
195	-147.8
195.5	-123.9
196	-81.6
196.5	-19
197	66.5
197.5	185.2
198	305.3
198.5	404.4
199	461.6
199.5	451.5
200	368
200.5	240.2
201	109.6
201.5	-66.2
202	-238.5
202.5	-384.3
203	-494.1
203.5	-545.4
204	-527.2
204.5	-443.5
205	-339.3
205.5	-241.9
206	-160.1
206.5	-92.9
207	-45
207.5	-16.5
208	-1.7
208.5	3.8
209	5.9
209.5	6.7
210	6.9
210.5	7
211	7.4
211.5	7.1
212	7.2
212.5	7.2
213	7.2
213.5	7
214	6.8
214.5	6.9
215	7.2
