Kommentar: 
Zeit: 05.11.2024	16:20
Startenergie: 100
Endenergie: 220
Energieschritt: 0
Sensitivity: 10 mV
TC: 300 ms
Phase: Phase: 156
100	-1780
100.5	-1776
101	-1707
101.5	-1612
102	-1546
102.5	-1509
103	-1538
103.5	-1591
104	-1563
104.5	-1555
105	-1595
105.5	-1564
106	-1457
106.5	-1418
107	-1475
107.5	-1464
108	-1371
108.5	-1365
109	-1350
109.5	-1306
110	-1295
110.5	-1234
111	-1173
111.5	-973
112	-807
112.5	-671
113	-495
113.5	-360
114	-339
114.5	-388
115	-430
115.5	-475
116	-563
116.5	-714
117	-814
117.5	-836
118	-821
118.5	-772
119	-708
119.5	-589
120	-523
120.5	-435
121	-332
121.5	-237
122	-260
122.5	-230
123	-193
123.5	-86
124	10
124.5	40
125	-79
125.5	-139
126	-121
126.5	-55
127	-30
127.5	-18
128	-76
128.5	-34
129	24
129.5	104
130	234
130.5	348
131	484
131.5	608
132	759
132.5	915
133	1066
133.5	1180
134	1205
134.5	1220
135	1150
135.5	1017
136	914
136.5	762
137	579
137.5	434
138	370
138.5	454
139	557
139.5	731
140	841
140.5	919
141	997
141.5	1047
142	1120
142.5	1127
143	1207
143.5	1291
144	1437
144.5	1659
145	1901
145.5	2176
146	2417
146.5	2690
147	3039
147.5	3363
148	3598
148.5	3834
149	3917
149.5	3842
150	3709
150.5	3525
151	3406
151.5	3200
152	3006
152.5	2686
153	2418
153.5	2301
154	2390
154.5	2468
155	2458
155.5	2538
156	2681
156.5	2910
157	3121
157.5	3349
158	3509
158.5	3541
159	3536
159.5	3631
160	3825
160.5	3962
161	4172
161.5	4630
162	5170
162.5	5738
163	6477
163.5	7163
164	7886
164.5	8296
165	8441
165.5	8320
166	8023
166.5	7464
167	6565
167.5	5737
168	4979
168.5	4658
169	4640
169.5	4765
170	5072
170.5	5328
171	5222
171.5	4416
172	2649
172.5	503
173	-2775
173.5	-6115
174	-9488
174.5	-11780
175	-13333
175.5	-14247
176	-14922
176.5	-13349
177	-9184
177.5	-1320
178	4622
178.5	8905
179	11390
179.5	13245
180	14426
180.5	15000
181	14847
181.5	10257
182	2952
182.5	-3336
183	-7049
183.5	-9922
184	-12067
184.5	-13613
185	-14516
185.5	-15000
186	-15000
186.5	-15000
187	-15000
187.5	-13547
188	-11544
188.5	-9290
189	-7405
189.5	-5585
190	-4239
190.5	-3343
191	-2610
191.5	-1954
192	-1540
192.5	-1149
193	-895
193.5	-696
194	-636
194.5	-573
195	-475
195.5	-390
196	-312
196.5	-264
197	-181
197.5	-149
198	-84
198.5	-3
199	-21
199.5	27
200	167
200.5	221
201	254
201.5	277
202	310
202.5	358
203	389
203.5	420
204	422
204.5	468
205	467
205.5	474
206	505
206.5	520
207	474
207.5	452
208	472
208.5	518
209	518
209.5	432
210	357
210.5	384
211	466
211.5	455
212	490
212.5	644
213	754
213.5	767
214	780
214.5	871
215	935
215.5	948
216	872
216.5	815
217	844
217.5	797
218	721
218.5	676
219	682
219.5	679
220	660
