Kommentar: 
Zeit: 05.11.2024	09:59
Startenergie: 10
Endenergie: 1600
Energieschritt: 2
Sensitivity: 300 uV
TC: 300 ms
Phase: Phase: 156
10	616
12	275
14	2442
16	4514
18	5006
20	4624
22	3882
24	4176
26	7990
28	10808
30	12557
32	12709
34	11679
36	10145
38	8106
40	5993
42	4432
44	3339
46	2629
48	2066
50	1798
52	1731
54	1753
56	1812
58	1780
60	1453
62	696
64	-621
66	-2013
68	-4701
70	-8199
72	-11090
74	-12012
76	-11145
78	-9414
80	-7576
82	-6171
84	-4822
86	-3927
88	-3086
90	-2359
92	-1866
94	-1420
96	-1066
98	-780
100	-513
102	-299
104	-110
106	-13
108	84
110	182
112	243
114	262
116	277
118	325
120	347
122	332
124	303
126	317
128	345
130	392
132	405
134	400
136	444
138	483
140	477
142	478
144	543
146	642
148	664
150	574
152	461
154	362
156	322
158	296
160	255
162	263
164	295
166	328
168	315
170	320
172	376
174	429
176	439
178	426
180	438
182	436
184	458
186	475
188	467
190	466
192	478
194	493
196	502
198	509
200	519
202	525
204	539
206	569
208	585
210	602
212	601
214	608
216	616
218	661
220	706
222	706
224	694
226	666
228	686
230	748
232	841
234	940
236	1000
238	1045
240	1062
242	1059
244	1129
246	1292
248	1491
250	1616
252	1650
254	1584
256	1487
258	1396
260	1364
262	1436
264	1528
266	1457
268	949
270	-26
272	-1411
274	-2666
276	-3427
278	-3771
280	-3715
282	-3364
284	-2873
286	-2400
288	-1868
290	-1470
292	-1048
294	-745
296	-516
298	-349
300	-186
302	-49
304	49
306	116
308	207
310	241
312	250
314	241
316	229
318	231
320	225
322	240
324	302
326	356
328	389
330	431
332	479
334	487
336	465
338	404
340	318
342	258
344	234
346	247
348	276
350	319
352	361
354	409
356	479
358	536
360	585
362	553
364	503
366	407
368	365
370	369
372	425
374	469
376	436
378	349
380	194
382	44
384	-106
386	-168
388	-192
390	-176
392	-109
394	9
396	137
398	184
400	216
402	259
404	260
406	263
408	335
410	391
412	430
414	470
416	501
418	524
420	540
422	523
424	526
426	511
428	497
430	496
432	521
434	548
436	546
438	569
440	588
442	580
444	579
446	644
448	691
450	714
452	737
454	752
456	790
458	801
460	828
462	893
464	1007
466	1131
468	1187
470	1123
472	1095
474	1125
476	1237
478	1417
480	1629
482	1682
484	1560
486	1291
488	1044
490	854
492	721
494	942
496	1564
498	2389
500	3111
502	3231
504	2832
506	1622
508	173
510	-1092
512	-2117
514	-2534
516	-2574
518	-2304
520	-1809
522	-1326
524	-923
526	-594
528	-264
530	27
532	240
534	408
536	484
538	520
540	591
542	657
544	693
546	757
548	774
550	764
552	769
554	744
556	650
558	609
560	627
562	632
564	675
566	705
568	755
570	777
572	796
574	786
576	814
578	825
580	878
582	884
584	826
586	783
588	768
590	721
592	658
594	658
596	694
598	719
600	747
602	795
604	829
606	904
608	897
610	847
612	863
614	888
616	878
618	857
620	833
622	804
624	778
626	774
628	754
630	766
632	807
634	852
636	885
638	878
640	869
642	832
644	859
646	913
648	936
650	941
652	977
654	944
656	932
658	941
660	923
662	885
664	868
666	898
668	989
670	1072
672	1103
674	1140
676	1185
678	1173
680	1149
682	1096
684	991
686	950
688	963
690	984
692	1010
694	1024
696	1069
698	1130
700	1207
702	1242
704	1207
706	1190
708	1120
710	1082
712	1083
714	1107
716	1096
718	1115
720	1090
722	1049
724	1092
726	1106
728	1104
730	1123
732	1181
734	1219
736	1240
738	1254
740	1273
742	1299
744	1315
746	1281
748	1275
750	1300
752	1311
754	1237
756	1165
758	1102
760	1157
762	1259
764	1313
766	1357
768	1332
770	1331
772	1314
774	1265
776	1269
778	1307
780	1330
782	1392
784	1453
786	1467
788	1477
790	1512
792	1571
794	1568
796	1552
798	1514
800	1477
802	1449
804	1479
806	1501
808	1453
810	1405
812	1454
814	1459
816	1481
818	1547
820	1551
822	1566
824	1591
826	1608
828	1527
830	1531
832	1541
834	1516
836	1495
838	1531
840	1614
842	1647
844	1679
846	1665
848	1607
850	1547
852	1485
854	1452
856	1581
858	1674
860	1737
862	1750
864	1698
866	1634
868	1598
870	1561
872	1546
874	1514
876	1604
878	1678
880	1668
882	1717
884	1770
886	1767
888	1741
890	1789
892	1796
894	1820
896	1885
898	1876
900	1812
902	1719
904	1550
906	1516
908	1568
910	1588
912	1620
914	1580
916	1514
918	1470
920	1486
922	1581
924	1653
926	1711
928	1772
930	1777
932	1704
934	1657
936	1680
938	1662
940	1610
942	1583
944	1541
