Kommentar: 
Zeit: 14.11.2024	14:16
Startenergie: 900
Endenergie: 1100
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
900	28
900.5	44
901	67
901.5	100
902	149
902.5	198
903	231
903.5	265
904	277
904.5	280
905	289
905.5	298
906	304
906.5	317
907	319
907.5	309
908	314
908.5	317
909	313
909.5	308
910	298
910.5	306
911	321
911.5	323
912	321
912.5	305
913	289
913.5	274
914	272
914.5	271
915	275
915.5	281
916	288
916.5	293
917	298
917.5	312
918	321
918.5	338
919	350
919.5	349
920	369
920.5	390
921	389
921.5	389
922	387
922.5	395
923	407
923.5	407
924	403
924.5	401
925	395
925.5	385
926	368
926.5	356
927	353
927.5	345
928	332
928.5	322
929	313
929.5	301
930	298
930.5	308
931	313
931.5	319
932	328
932.5	336
933	360
933.5	385
934	409
934.5	433
935	459
935.5	481
936	500
936.5	519
937	523
937.5	527
938	530
938.5	531
939	529
939.5	522
940	511
940.5	493
941	474
941.5	441
942	416
942.5	388
943	360
943.5	335
944	322
944.5	316
945	318
945.5	328
946	344
946.5	366
947	385
947.5	414
948	446
948.5	497
949	538
949.5	595
950	644
950.5	693
951	719
951.5	743
952	776
952.5	774
953	778
953.5	779
954	782
954.5	790
955	781
955.5	758
956	743
956.5	698
957	647
957.5	602
958	547
958.5	494
959	455
959.5	430
960	418
960.5	388
961	392
961.5	445
962	492
962.5	535
963	576
963.5	638
964	704
964.5	792
965	874
965.5	951
966	1015
966.5	1078
967	1129
967.5	1165
968	1184
968.5	1182
969	1154
969.5	1097
970	1038
970.5	981
971	894
971.5	802
972	697
972.5	563
973	464
973.5	338
974	247
974.5	177
975	159
975.5	151
976	161
976.5	208
977	274
977.5	364
978	477
978.5	629
979	807
979.5	983
980	1168
980.5	1348
981	1493
981.5	1638
982	1744
982.5	1777
983	1746
983.5	1667
984	1479
984.5	1261
985	1048
985.5	788
986	560
986.5	349
987	150
987.5	-12
988	-142
988.5	-263
989	-368
989.5	-442
990	-493
990.5	-504
991	-501
991.5	-482
992	-444
992.5	-378
993	-307
993.5	-206
994	-56
994.5	60
995	279
995.5	517
996	760
996.5	1065
997	1324
997.5	1557
998	1784
998.5	1998
999	2146
999.5	2257
1000	2287
1000.5	2222
1001	2080
1001.5	1875
1002	1656
1002.5	1410
1003	1116
1003.5	780
1004	446
1004.5	93
1005	-273
1005.5	-638
1006	-993
1006.5	-1307
1007	-1530
1007.5	-1684
1008	-1745
1008.5	-1703
1009	-1562
1009.5	-1318
1010	-976
1010.5	-366
1011	344
1011.5	1061
1012	1865
1012.5	2841
1013	3767
1013.5	4599
1014	5224
1014.5	5747
1015	5900
1015.5	5724
1016	5254
1016.5	4535
1017	3738
1017.5	2802
1018	1796
1018.5	758
1019	-355
1019.5	-1402
1020	-2480
1020.5	-3648
1021	-4492
1021.5	-5283
1022	-5882
1022.5	-6377
1023	-6748
1023.5	-6970
1024	-7008
1024.5	-6846
1025	-6483
1025.5	-5834
1026	-5102
1026.5	-4369
1027	-3495
1027.5	-2778
1028	-2230
1028.5	-1943
1029	-1871
1029.5	-2104
1030	-2592
1030.5	-3267
1031	-3971
1031.5	-4748
1032	-5557
1032.5	-6219
1033	-6731
1033.5	-6991
1034	-7002
1034.5	-6795
1035	-6324
1035.5	-5692
1036	-5038
1036.5	-4409
1037	-4024
1037.5	-3792
1038	-3734
1038.5	-3774
1039	-3878
1039.5	-3996
1040	-4122
1040.5	-4210
1041	-4252
1041.5	-4169
1042	-3871
1042.5	-3395
1043	-2798
1043.5	-2156
1044	-1587
1044.5	-1114
1045	-763
1045.5	-467
1046	-287
1046.5	-162
1047	-63
1047.5	-3
1048	40
1048.5	65
1049	94
1049.5	120
1050	141
1050.5	160
1051	178
1051.5	188
1052	193
1052.5	200
1053	201
1053.5	195
1054	191
1054.5	197
1055	204
1055.5	204
1056	201
1056.5	201
1057	206
1057.5	209
1058	214
1058.5	226
1059	241
1059.5	240
1060	238
1060.5	264
1061	285
1061.5	285
1062	294
1062.5	288
1063	264
1063.5	245
1064	221
1064.5	200
1065	191
1065.5	183
1066	194
1066.5	183
1067	161
1067.5	147
1068	146
1068.5	160
1069	166
1069.5	141
1070	143
1070.5	155
1071	166
1071.5	175
1072	185
1072.5	197
1073	207
1073.5	204
1074	204
1074.5	209
1075	219
1075.5	232
1076	243
1076.5	245
1077	242
1077.5	246
1078	239
1078.5	242
1079	239
1079.5	232
1080	234
1080.5	256
1081	268
1081.5	247
1082	225
1082.5	214
1083	205
1083.5	211
1084	216
1084.5	215
1085	214
1085.5	212
1086	209
1086.5	211
1087	206
1087.5	197
1088	195
1088.5	199
1089	204
1089.5	206
1090	208
1090.5	212
1091	217
1091.5	229
1092	228
1092.5	221
1093	228
1093.5	250
1094	257
1094.5	265
1095	267
1095.5	257
1096	246
1096.5	233
1097	220
1097.5	214
1098	198
1098.5	169
1099	163
1099.5	163
1100	213
