Kommentar: 
Zeit: 14.11.2024	14:38
Startenergie: 120
Endenergie: 230
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
120	-5
120.5	-63
121	-56
121.5	-60
122	0
122.5	-4
123	33
123.5	94
124	110
124.5	154
125	163
125.5	151
126	135
126.5	173
127	127
127.5	40
128	-2
128.5	70
129	92
129.5	139
130	186
130.5	255
131	252
131.5	331
132	362
132.5	412
133	488
133.5	533
134	576
134.5	672
135	767
135.5	739
136	641
136.5	648
137	661
137.5	648
138	620
138.5	619
139	645
139.5	613
140	620
140.5	564
141	508
141.5	484
142	522
142.5	540
143	507
143.5	494
144	525
144.5	616
145	736
145.5	772
146	863
146.5	960
147	1005
147.5	1035
148	1113
148.5	1230
149	1286
149.5	1323
150	1389
150.5	1483
151	1521
151.5	1451
152	1395
152.5	1382
153	1384
153.5	1422
154	1463
154.5	1406
155	1299
155.5	1197
156	1167
156.5	1138
157	1089
157.5	1064
158	1067
158.5	1059
159	1050
159.5	1090
160	1167
160.5	1300
161	1430
161.5	1528
162	1688
162.5	1836
163	1967
163.5	2036
164	2085
164.5	2161
165	2247
165.5	2321
166	2400
166.5	2540
167	2634
167.5	2673
168	2682
168.5	2612
169	2475
169.5	2236
170	2005
170.5	1747
171	1588
171.5	1367
172	1139
172.5	940
173	784
173.5	727
174	768
174.5	801
175	882
175.5	1023
176	1276
176.5	1560
177	1901
177.5	2185
178	2487
178.5	2917
179	3290
179.5	3655
180	4029
180.5	4437
181	5098
181.5	5716
182	6205
182.5	6601
183	6952
183.5	6995
184	6836
184.5	6195
185	5032
185.5	3466
186	2063
186.5	675
187	-683
187.5	-1815
188	-2628
188.5	-3182
189	-3446
189.5	-3133
190	-2475
190.5	-1348
191	-159
191.5	935
192	1760
192.5	1802
193	1102
193.5	-480
194	-2420
194.5	-4509
195	-6283
195.5	-7073
196	-6889
196.5	-3505
197	2105
197.5	6640
198	9806
198.5	12172
199	13565
199.5	14721
200	15000
200.5	14631
201	11135
201.5	3874
202	-3517
202.5	-7453
203	-10206
203.5	-12129
204	-13472
204.5	-14414
205	-15000
205.5	-15000
206	-15000
206.5	-15000
207	-15000
207.5	-13846
208	-11587
208.5	-9453
209	-7664
209.5	-6181
210	-4697
210.5	-3699
211	-2931
211.5	-2278
212	-1693
212.5	-1412
213	-1224
213.5	-1107
214	-1009
214.5	-957
215	-959
215.5	-946
216	-899
216.5	-796
217	-716
217.5	-657
218	-627
218.5	-523
219	-456
219.5	-422
220	-426
220.5	-433
221	-515
221.5	-514
222	-449
222.5	-420
223	-404
223.5	-450
224	-457
224.5	-382
225	-345
225.5	-356
226	-319
226.5	-225
227	-129
227.5	-32
228	-62
228.5	-119
229	-147
229.5	-142
230	-177
