Wavelength;S1
nm;Counts
;
808.292;3490
809.312;3567
810.333;3590
811.353;3555
812.373;3668
813.394;3653
814.414;3668
815.434;3706
816.454;3721
817.474;3840
818.494;3734
819.514;3826
820.534;3759
821.554;3855
822.573;3873
823.593;3894
824.613;3848
825.632;3868
826.652;3886
827.671;3847
828.691;3950
829.71;4027
830.73;3972
831.749;4094
832.768;4002
833.787;4056
834.806;4003
835.825;4027
836.844;4072
837.863;4051
838.882;4041
839.901;3980
840.92;4078
841.938;4072
842.957;4221
843.975;4152
844.994;4146
846.012;4119
847.031;4022
848.049;4183
849.067;4153
850.086;4108
851.104;4140
852.122;4113
853.14;4163
854.158;4131
855.176;4176
856.194;4173
857.212;4192
858.229;4256
859.247;4267
860.265;4207
861.282;4221
862.3;4262
863.317;4240
864.335;4212
865.352;4266
866.369;4285
867.386;4331
868.404;4237
869.421;4300
870.438;4298
871.455;4293
872.472;4332
873.489;4260
874.505;4251
875.522;4295
876.539;4365
877.555;4337
878.572;4334
879.589;4341
880.605;4302
881.621;4392
882.638;4356
883.654;4265
884.67;4301
885.686;4401
886.702;4347
887.718;4245
888.734;4465
889.75;4337
890.766;4348
891.782;4386
892.798;4464
893.813;4370
894.829;4394
895.844;4464
896.86;4440
897.875;4353
898.891;4428
899.906;4360
900.921;4435
901.936;4422
902.952;4385
903.967;4459
904.982;4455
905.997;4342
907.011;4465
908.026;4390
909.041;4368
910.056;4424
911.07;4489
912.085;4471
913.099;4513
914.114;4428
915.128;4400
916.142;4413
917.157;4461
918.171;4501
919.185;4478
920.199;4487
921.213;4355
922.227;4460
923.241;4462
924.255;4458
925.268;4457
926.282;4452
927.296;4407
928.309;4414
929.323;4504
930.336;4530
931.349;4408
932.363;4498
933.376;4502
934.389;4531
935.402;4489
936.415;4481
937.428;4497
938.441;4477
939.454;4524
940.467;4480
941.479;4522
942.492;4512
943.505;4493
944.517;4493
945.53;4505
946.542;4559
947.554;4540
948.567;4514
949.579;4624
950.591;4498
951.603;4607
952.615;4605
953.627;4573
954.639;4582
955.651;4613
956.662;4592
