Wavelength	R1
280	2.8E-5
281	4.4E-5
282	6.2E-5
283	8.1E-5
284	1.02E-4
285	1.26E-4
286	1.54E-4
287	1.8E-4
288	2.1E-4
289	2.46E-4
290	2.93E-4
291	3.25E-4
292	3.61E-4
293	4.03E-4
294	4.54E-4
295	5.06E-4
296	5.62E-4
297	6.2E-4
298	6.83E-4
299	7.43E-4
300	8.17E-4
301	8.92E-4
302	9.7E-4
303	0.001054
304	0.001144
305	0.001236
306	0.001328
307	0.001422
308	0.001524
309	0.001632
310	0.001739
311	0.00186
312	0.001984
313	0.002104
314	0.002202
315	0.002318
316	0.002437
317	0.00257
318	0.002691
319	0.002826
320	0.002963
321	0.00311
322	0.003282
323	0.003407
324	0.003535
325	0.003665
326	0.003831
327	0.003983
328	0.00415
329	0.004315
330	0.004481
331	0.004642
332	0.004838
333	0.005011
334	0.005188
335	0.005407
336	0.005598
337	0.00578
338	0.00597
339	0.00619
340	0.006408
341	0.00661
342	0.006834
343	0.007048
344	0.007271
345	0.007491
346	0.007715
347	0.007925
348	0.008147
349	0.008379
350	0.008591
351	0.008805
352	0.009014
353	0.009243
354	0.009443
355	0.00966
356	0.00988
357	0.010065
358	0.010289
359	0.01047
360	0.010699
361	0.010927
362	0.011151
363	0.011362
364	0.01163
365	0.011871
366	0.012122
367	0.012462
368	0.012727
369	0.013073
370	0.013398
371	0.013717
372	0.014033
373	0.014387
374	0.01473
375	0.015158
376	0.015564
377	0.016
378	0.016506
379	0.01699
380	0.017491
381	0.017895
382	0.018306
383	0.018656
384	0.019091
385	0.019472
386	0.019949
387	0.020471
388	0.021039
389	0.021886
390	0.022642
391	0.02338
392	0.023799
393	0.024237
394	0.024846
395	0.025697
396	0.026278
397	0.02635
398	0.026005
399	0.025461
400	0.025258
401	0.025237
402	0.025312
403	0.025511
404	0.025863
405	0.02615
406	0.02642
407	0.026864
408	0.027511
409	0.027816
410	0.02803
411	0.028465
412	0.029076
413	0.029006
414	0.029
415	0.029086
416	0.02941
417	0.029745
418	0.030467
419	0.032449
420	0.032358
421	0.031576
422	0.031443
423	0.031673
424	0.031962
425	0.032221
426	0.032533
427	0.032777
428	0.033067
429	0.033294
430	0.033599
431	0.03389
432	0.034197
433	0.03459
434	0.034922
435	0.035501
436	0.03613
437	0.03722
438	0.038788
439	0.038045
440	0.037773
441	0.038208
442	0.038521
443	0.038611
444	0.038893
445	0.039166
446	0.0392
447	0.039868
448	0.041297
449	0.04967
450	0.050471
451	0.046038
452	0.048119
453	0.043918
454	0.044428
455	0.045342
456	0.047824
457	0.050548
458	0.050343
459	0.047941
460	0.048762
461	0.052737
462	0.058487
463	0.057304
464	0.051524
465	0.051061
466	0.057016
467	0.076045
468	0.072743
469	0.061516
470	0.057277
471	0.052575
472	0.053062
473	0.06507
474	0.057142
475	0.049512
476	0.048825
477	0.048659
478	0.04915
479	0.051581
480	0.057934
481	0.06351
482	0.060319
483	0.06178
484	0.059327
485	0.056829
486	0.054979
487	0.054736
488	0.055419
489	0.056007
490	0.057181
491	0.064843
492	0.071277
493	0.065414
494	0.06045
495	0.058782
496	0.058456
497	0.058234
498	0.058479
499	0.05879
500	0.059027
501	0.059483
502	0.060534
503	0.061048
504	0.060552
505	0.060592
506	0.060749
507	0.060984
508	0.061272
509	0.061488
510	0.061678
511	0.062026
512	0.062764
513	0.063001
514	0.062762
515	0.062743
516	0.06298
517	0.06312
518	0.063348
519	0.063443
520	0.063573
521	0.063489
522	0.063632
523	0.063603
524	0.063738
525	0.063636
526	0.063759
527	0.063816
528	0.063903
529	0.064105
530	0.063795
531	0.063727
532	0.063786
533	0.063869
534	0.063879
535	0.063917
536	0.063834
537	0.063724
538	0.063492
539	0.063587
540	0.063967
541	0.064097
542	0.064322
543	0.064197
544	0.064009
545	0.063858
546	0.06384
547	0.063814
548	0.063465
549	0.063483
550	0.06335
551	0.063367
552	0.063332
553	0.063293
554	0.062996
555	0.062882
556	0.062789
557	0.062585
558	0.062449
559	0.062174
560	0.062051
561	0.061894
562	0.061643
563	0.061552
564	0.061234
565	0.061288
566	0.061199
567	0.061167
568	0.061269
569	0.061286
570	0.061212
571	0.060882
572	0.060695
573	0.060482
574	0.060373
575	0.060264
576	0.060052
577	0.059984
578	0.059778
579	0.059801
580	0.059616
581	0.059578
582	0.059746
583	0.059677
584	0.059748
585	0.059536
586	0.059301
587	0.059071
588	0.058883
589	0.058698
590	0.05813
591	0.057644
592	0.057027
593	0.05649
594	0.055971
595	0.055333
596	0.05482
597	0.054437
598	0.053873
599	0.053456
600	0.052939
601	0.052559
602	0.052291
603	0.051988
604	0.051667
605	0.051361
606	0.051129
607	0.050905
608	0.05085
609	0.050849
610	0.05076
611	0.050856
612	0.050926
613	0.051009
614	0.05109
615	0.051161
616	0.05123
617	0.051405
618	0.051629
619	0.051654
620	0.051307
621	0.050699
622	0.049938
623	0.049156
624	0.048474
625	0.047804
626	0.047274
627	0.046774
628	0.046476
629	0.046161
630	0.045941
631	0.045721
632	0.045287
633	0.044779
634	0.043999
635	0.043313
636	0.042454
637	0.041802
638	0.041228
639	0.040638
640	0.040069
641	0.039609
642	0.039317
643	0.039029
644	0.038942
645	0.038937
646	0.039329
647	0.039738
648	0.03975
649	0.039182
650	0.038328
651	0.037239
652	0.03651
653	0.036182
654	0.036089
655	0.036126
656	0.036114
657	0.036213
658	0.036327
659	0.036507
660	0.036677
661	0.036948
662	0.037253
663	0.037645
664	0.038107
665	0.038655
666	0.039049
667	0.039266
668	0.039218
669	0.039029
670	0.039101
671	0.03919
672	0.039484
673	0.039745
674	0.039853
675	0.039504
676	0.039101
677	0.038636
678	0.038343
679	0.038231
680	0.038464
681	0.039518
682	0.04321
683	0.046446
684	0.043918
685	0.042608
686	0.04277
687	0.043717
688	0.045381
689	0.045526
690	0.043216
691	0.04048
692	0.038155
693	0.036355
694	0.035123
695	0.034073
696	0.033456
697	0.033247
698	0.03319
699	0.032617
700	0.031813
701	0.031098
702	0.030488
703	0.029876
704	0.029612
705	0.029561
706	0.029927
707	0.030597
708	0.031659
709	0.033203
710	0.035354
711	0.037164
712	0.037797
713	0.036199
714	0.034001
715	0.031957
716	0.030259
717	0.029
718	0.028048
719	0.027141
720	0.026212
